date,review,rating,isEdited,userName,title,developerResponse
2024-03-14 21:13:53,"If your into anything action related or into games with quests or whatever, Genshin Is what I recommend. This game you have a whole obese map and you can explore everywhere and get teleport waypoints to always go to different areas and it's useful for quests so you can just teleport. The game is kind of like Zelda in my opinion. You can collect weapons and explore like I said and kill all kinds of monsters or bosses. You can also collect and level up characters by finding chests and making wishes. You can even upgrade your weapons and they thankfully don't break at all. The characters even have useful powers like fire or water, etc and are useful to use. And there's always updates to the game. And the graphics and animations are amazing. I wrote 4 stars though cause sometimes the game can be a little glitchy (rarely but still) and I feel there's a bit too much to it. I be having 15+ quests almost 24/7 and there's so many others they want me to find and add to the list of the fat amount of quests and there's a bunch of achievements you have to do adding to the quests. And sometimes it takes a long time to level up the character's. And idk sometimes it's too much to handle for me but all in all its a good game and I love it and it's good if your ok with plenty of jobs to do and to achieve useful items. 
I hope this helps to you earthlings (sorry for long explanation)",4,False,Paimon ✨,Beautiful (also mid) 😌,
2024-03-12 23:53:32,"I’ve been playing genshin off and on for years, at first I wasn’t much of a fan but I got back into it and i’m really enjoying it. I’m always left in awe at each cutscene, and each story quest and archon quest keeps me wanting to play for hours on end. I will say some aspects of the game or certain boss fights, mostly because of the amount of times I have to fight one boss without having a chance to go heal and having to fight the abyss herald so many times. Regardless the characters get even better with each patch and I always get excited when I hear a new character will be released. I have not so slowly but surely made genshin a part of my daily habits, weather thats a good thing for my productivity remains unanswered, but thats okay with me. I didn’t expect to become to invested with each story and lore, each character having ties to other characters, there own unique backstory's and play styles. Overall the game is breathtaking, the scenery is beyond beautiful and the puzzles all around Teyvat give me something to do when I’m procrastinating doing my world quests. The only issue I save with the game, which really isn't an issue, but more of a mechanic of sorts, I wish that there was a way to save wishes in a virtual wallet of sorts, somewhere to put them so that the temptation to spend them while saving up is less likely. Other than that, genshin has never failed, nor will it in the future I am sure to amaze me in every way.",5,False,Dreamercorngirl,Addiction unlocked✅,
2021-07-29 20:38:39,"this game is the best game I’ve ever downloaded! it’s a great open word game, the plot is amazing and all the characters very well designed and have great backgrounds. i love all the fun things you can experience in this game like domains, bosses, and the wishing system (getting characters). and the system of daily commissions, and you’re reputation in different places to get wind gliders is super fun! also there’s gods that rule over the seven nations of Teyvet, and all the gods will eventually become playable characters, like Venti (anemo archon), Zhongli (geo archon), and Baal that will be coming soon (electro archon). also every nation has something special like Mondstat is the city of freedom, Liyue is the city of contracts, and Inazuma is the city of eternity and etc. some things are a little too complicated for me, for example building characters with artifacts, also artifacts help a lot with getting though with enemy’s faster (better dmg, def, hp.), but I just try my best. something I don’t understand is and I don’t like is that you can’t craft and unlock teleport waypoints and talk to people while in co-op mode. and I also love the new map, but I’m not so good at puzzles lol. also visions and all the elements, pyro, hydro, anemo, electro, dendro, cryo, geo. something I wanted added to the game is being able to pet animals, although it seems kinda silly I still think it’s cute. pls download this game its the best, enjoyy! 🤍",5,False,✨Paimon✨,best game in the universe! <3,
2020-10-12 17:38:12,"I’m one of those people who Judges a game by its video/screenshots/price/platform rather than description so at first, I personally thought it was some copy or ripoff of another game that costs 60$ more that will be left unnamed, but it’s much different. There are some things I would love changes too like, you don’t start with so much stuff, you can have two to three characters out as an a.i. that you can switch to when you need them for a puzzle or you want to get them out of a predicament instead of having one out at a time and hear characters that may not be there, with that edition you could have a healer and strategize rather than switching to what you need when you need it out of nowhere. Another thing is that the gameplay and story through me off from how original and fun it was for a game I was initially going to play as a time waster. I would quiet enjoy to have more skins for your characters and voiced dialogue/more story into the main character instead of a random flying thing that always seems starved. I love the mystery so if you are into that sort of thing I think that you would like it although even with fast travel, travel is quiet annoying and unfortunately, I have no ideas for that

TL/DR: You should play because of story and animations if not because it’s free

PS: I played this on PS4 though I tried it on iPhone, and I didn’t like the controls",5,False,... well then.,Surprised,
2021-02-18 13:20:18,"This game is insane. I’ve played now for a total of 42 days, according to HoyoLab. Easily hundreds of hours. I play every day for hours. This is the only game I'm currently investing time in. And let me say it is WORTH your time. A HUGE open world not pay to win and complete flexibility with how you play. I have invested around $20 total over the course of my time and it was for 1 character, Xiao. I didn't get him, however i did end up getting him with a free wish i received, go figure. But this is not like a normal GATCHA game. You get so many characters with the chance at more and more completely for free. You never have to spend money. There is no pay wall and the story lines are fantastic. I literally cant type out enough praise for this game. Its the best game i have played hands down in a very very long time. 
It does need some more end-game or late-game content, especially because at AR37 the story just stops. 
DEVS: This game is a huge accomplishment and you should all be proud. Its extremely ambitious, especially if you are planning on including zones that represent every element, however, keep with it. You guys can have THE best game of all time if you listen to your fan base and keep this momentum up! The lantern rite event was absolutely incredible! 
P.S. try and keep the tower defense mini game in! Its so much fun just to pass time! And it gives us a reason to keep playing after we finish our daily grind!",5,False,CraftiBadger,AAA Title for free,
2022-07-13 01:34:58,"Overall the game is great, but there are some major problems. While some QoL changes have been made since I last considered reviewing the game there is some new insight now that I’ve spent a small amount of money on the game. Mostly, my biggest complaint is with the weapon banner wish. Even though they added a guarantee system, it’s still incredibly hard for smaller spenders to get the weapons they want. I won twice and got both of the ones I wanted but that’s incredibly rare and most people don’t have that sort of luck. I know they don’t take feedback very often, especially in such an oversaturated category, but I wish the Fate Points would carry over to the banners. It is still reasonably hard to get the correct weapon, but right now, I feel very discouraged from spending my money on the banner because if I don’t spend enough then all of it will go to waste.

I also have some concerns for how this game will conclude. I don’t think the system of adding so many new characters every single update is very sustainable. In HI3 each of them has different battlesuits but the characters are technically the same people, so the story is somewhat more streamlined. I also think a condensed resin/resin refresh rate/resin cap increase is overdue since Sumeru will probably come with many more weekly bosses.",5,False,Iris Jin,Love the game but I wish there were some minor changes,
2021-07-15 00:47:42,When I first started I had no idea how to play it would be nice if before you played there where instructions but idk if there where I didn’t actually read or remember so if there word my bad!!! But I had no idea how to play so I didn’t like it at first. Eventually I figured it out and went to the statue of the seven the first one they tell us to go too I thought it was pretty interesting since then. After wards I went to mondstant (idk how to spell it sorry) and that’s my favorite part bc I thought I would be alone in the game and that I would have to make camp fires and that but At the end there was a town where u can buy stuff and relax … etc witch is great!!! Therefore came the missions and at first I did all of them and defeat every enemy I saw but when I continued playing I started to avoid the fights because I just wanted to get to the target like if it was a walk in the part but the coding in genshin made it very hard meaning that it was nearly imposible to not be attacked by enemy’s but even so I did avoid the enemy’s . But I came to realize if I fight more enemy’s I get leveled up! So that’s great I avoid but also fight sometimes. Right now currently having a hard time with the mountains it’s pretty hard to stay warm and idk how to pass the mission it’s called “lost in the snow”. - but overall I loved the game it makes me feel all sorts of emotions!!!!,5,False,<3 traveler,Worth the hard work!!!,
2023-04-07 00:52:39,"i’ve been playing genshin for over 2 years and it’s my current hyperfixiation at the moment. i play it A LOT and never have many issues with the game, even though i play almost always on mobile. i’ve played on pc recently and i can say that the iphone and pc graphics are almost the same quality. my overall positive opinion(s) on the game is the story line is absolutely amazing and so so interesting, especially all the lore involved, i also love all the characters designs and how cute they all look, and many characters keep coming out and getting leaked and they all look great. i also love how it’s open world and there are many different things to do and opportunities to experience while exploring and such! on the other hand, some downsides are that higher ranked players, like about ar 45-60, have little to no chances to do anything but dailies and farm bosses plus domains, and just do events that come out every now and then. i would very highly recommend that there are more things to do and more opportunities for higher ar players to be able to do things other then log on, do dailies, look at characters, and then log off. it gets super boring after awhile, so maybe add some more events and activity’s. other then that i plan to play the game till i’m ar 60 or i own all the characters. thanks hoyoverse for the great game :)",4,False,alfredo🦦,"great game, my current hyperfixiation, could be better",
2022-03-13 01:36:26,"Overall, Genshin Impact was a pretty cool game at the beginning. Including the immaculate amount of high quality graphics and the absolutely adorable designs, such as Paimon. Although, after at least 30 minutes, I believe, of downloading the full version, following Amber and completing quests, all the way to discovering the temple and fighting the monsters, I had uncovered a level where you had to fly to reach the other side. You were stuck on a huge cliff, on one side, a huge gap in the middle, and the other side. The instructions that Amber had given me were to fly across the gap to get to the other side. After all, I had just discovered the game ability to fly a while ago. Thinking this was easy, I concentratedly pressed the button and attempted to fly across the gorge, only to be sent down into the ""abyss"" and be revived. Just then I had discovered that your characters could die, unfortunately. I repeatedly tried over and over to fly across the gorge without the game automatically making my character sink in a sort of slow matter, enough time to make me fail to reach the other side. My lives were decreasing and soon enough, the only character left I could use was Amber. Eventually I just gave up. Developer, do you think you could possibly consider this problem that I, a mobile player, have been having? I cannot play Genshin Impact until the ""glitch"" has been fixed, since my lives are decreasing every try. Sincerely, -An Upset Player.",3,False,lucyismypuppysname:),Stuck.,
2021-12-17 05:03:45,"As a heavy genshin daily player, I’d like to say that this is the most fun game I had in quite some time. The character designs are great, the voice lines are great, and the graphics are truest stunning (playing on a pc/ iPhone 13 pro). However, this game does come with several flaws. First of all, let’s address the elephant in the room. Please improve your resin system. With more content than ever, we players need more resin than ever. Please increase resin tick/gain speed to 5 min per, and increase resin cap to 200. This would help a lot. Furthermore, the content in this game is kinda drying out. I’ve done all the quests there are and it gets boring after some time. The only thing left to do is to farm for talent up materials or artifacts, which relies on RESIN. Additionally, you should improve your daily commission system, an improvement towards the expedition system where it's auto or a resend button would be nice. I'd also like to suggest having an expedition where you could get primogemms,, but have a chance of failing to get them. Please also buff certain characters such as yoimiya, Kokomi, these 5* are overshadowed by other characters. Bennet should be nerfed, as he single handedly can care an entire abyss team. Make his healing stop at 60% and reduce his attack buff. Also buff qiqi and keqing. Your character balance is needed more than ever",5,False,Grace7879,"Great game, needs some fixing tho",
2024-02-05 03:36:41,"So basically, a lot of people are mad that hoyo is giving out a free 5 star and giving special rewards to Honkai players and not Genshin players. I think those complains are people being dramatic. Honestly, the rewards system has nothing to do with the gameplay itself. If you're playing the game just for the rewards, then that's probably the reason you're complaining. Why not just enjoy the game without all the rewards? If you're gonna rate it 1 star just because of the rewards then that's kinda stupid. 
 Now let me talk about the gameplay itself. I personally think Genshin is an amazing game because it's an open world game with a gacha system and so much more. Also, please don't complain about it taking up your storage. At least you got it on mobile, right? Anyways, I really love the game and the characters. The character designs are so pretty and majestic, just looking at them makes me happy. 
For all the people saying Genshin copied breath of the wild, they're actually really different, though they do have some similarities.
The storyline for genshin is amazing! The lore is also really good and I just genuinely like the idea of the archons. There are also so many likable characters. 
In conclusion, Genshin is an amazing game, and you need to download it, either on here, on your computer, or anything else. JUST GET IT TRUST ME!",5,False,Maplebearfromcc,I'm writing an honest review here,
2024-02-29 22:40:41,"I just want it to be known first I DO NOT ever write reviews on any app that I have ever used. There is a reason I’m taking my time right now to make one about Genshin Impact. I have always been an Xbox X player, a little bit of PC as well. But after many years of playing on Xbox I became really interested in mobile gaming. And feel like it’s a little underrated. Like people aren’t totally crazy for mobile gaming. However, Genshin Impact I feel you guys poured heart & soul into it. The ambient sounds, the comforting music, that nostalgic feel I’m getting from I’m not sure what because I have never really watched any type of anime. But also the variety of things to be done, the character selection. Let’s not forget the amazing capabilities! Currently playing on my iPhone 15 plus, and it runs amazing! Although almost all settings are on high, if I try to run at 60fps it says it’s to much to handle. Despite that, the fact that I can play this with an Xbox controller and then screen mirror to my 55” Samsung 4kUHD TV makes the gaming experience so much more enjoyable and fun to play! I just downloaded this game last night and I can already tell I’m going to have such a good time. It’s also a mental thing for me, very calming and relaxing to play. Hopefully this review will be recognized because if I could, this IMO deserves 10/10 star rating.",5,False,BSquadKilla,Absolutely blown away,
2023-07-18 09:18:08,"Ok,I started the game on I think July 1 or 3 and already it’s my favorite game! I love how beautiful the art is and the characters are sooo cute! Personally my favorite characters are venti,xianling,and Lisa I love they’re personalities and the way they look they’re sooo cute I’m currently on level 18 and I also love how you can either join a multiplayer server or a single player server as a person who doesn’t like multiplayer games bc idk i have social anxiety but I think the real reason is that I get paranoid about what people think about me or what they’re saying 😂 the only down fall just for me is that- IM STUPID and some of the quests are a little hard like the abyss mage one I don’t wanna spoil what happens in it but they’re kinda hard but on the bright side i did say I get paranoid but it not just about what ppl are saying about me but I also get paranoid about bad things happening to either my friends or family like A-LOT or me so if that ever happens I play this game and I feel better it’s just a feel good game! So yeah I would totally recommend the game if your 12+ like the game says you should totally get it or if it’s ok with your guardian and your underage and you get the game don’t worry about what it says in the reasons on why it’s 12+ I think it’s because of some of the outfits and the violence! But anyway 9/10 rating! Would definitely recommend if you like anime!^^",4,False,pls tell me if its just me,One of my favorite games🖤🖤,
2021-12-05 03:38:38,"Before this game my life was a barren wasteland of… well crap.. it was crap most definitely crap. Then one evening while talking to a friend on discord they happen to be streaming it, I was like “heyyy whatcha playin’ there??” Thus Genshin Impact was downloaded onto my phone. Now.. at first I was like, “this game is kinda hard… it’s kinda strange”, but.. as time progressed I got more and more interested in the stories, quests, themes etc. Then a couple months into playing Eula happened, I was awestruck, I was mesmerized, I was completely hypnotized by that blue hair and oh so thique thighs she has. But what captured my attention more than her character design, was her impeccable swordsmanship. The way she swings her claymore with such grace and beauty just.. *Mwuah* magnifique! Now lemme tell ya I dumped a little over $300 on her. I ended up pulling Diluc before her sadly losing my 50/50 but it was all worth it once I got her in my party. I will add as a final touch to this review, that Genshin Impact has saved me from lots of depression, this game makes me feel good, takes my mind out of the dark and brings me such joy I cannot describe it through words alone. For that I thank you Mihoyo, you’ve helped me, and you’ve helped thousands of other chronically depressed teens who are probably failing school as well just like me. Thank you so much. *wipes a tear away*",5,False,Maddie_132003,I cannot express how much I love this da*n game,
2021-05-25 15:18:10,"This game is great overall but I think it needs a bit of customization like a character creator where you can make your own character when you go into it you need to pay 2 primo gems to make your own character and it will also ask if you want your own animations and moves witch cost 10 primo gems you can choose yes or no when you get into the character creator it will ask if you want a male, female or a small female after selecting it will ask your characters name when after you Type it in it will show step one the eyes you will be able to customize the eyelashes eye color and eye shape and eye size after that step 2 is mouth you will be able to choose from cat mouth normal mouth and squiggly mouth and lipstick step 3 is hair you will be able to choose bangs side bangs back hair and ponytails and colors step4 will be what type of character you want a cat like diona a elf or a human step5 will be to choose your skin color step6 will be for the ones who payed the primo gems for custom animations and moves if your on a pc you can upload your own animations and moves after all of that you will chose your weapon, hat, glasses, hoodie, top, skirt, socks and dress if you want you can change your character for free later on that’s all I got to say as I said overall the game is good but it needs customization thanks if you put this in the game.",4,False,cute pun pun 2,It’s great but it needs more customization.,
2020-12-29 06:06:11,"I have played this game since its release, and so far, I still think it’s a good game. I really love the beautiful graphics and characters! The storyline and the voice acting is great, too. I also enjoy doing the events! I love the Co-op feature; it’s more fun to play with other players. As an F2P, I can assure you that with enough patience and grinding, you will do fine. It’s a self-paced game, so you don’t have to worry about trying to catch up with other players. Alright, now that I have said the pros, here are the cons of this game: the gacha rates, how little primogems we earn, and the grinding. It’s hard to get a five-star character. I get that, but after maybe like 4-5 x10 pulls and only getting duplicate characters & weapons? It’s hard to earn primogems to begin with, and the gacha rates does not make too happy about it. Like I said, it is also hard to earn primogems since you earn little by little each day. I’m not complaining too much about the grinding, but I will just tell you that it gets harder and harder as you level your characters up. In doing so, you must have a lot of patience and time. All-in-all, this game is pretty good despite some flaws here and there. I understand that the developer needs to make money, hence the pretty low gacha rates. However, I think this game is worth playing if you overlook the low gacha rates lol.",5,False,Chivo is a goat,Pretty decent game,
2020-11-14 08:30:09,"So at first I was going to play this on PC, yet my computer is pretty slow and this game doesn’t work very well on it, so I usually play in my phone. So far I’m at Adventure Rank 27, and I’ve had almost no problems with the game. The storyline is great and there’s almost always something to do whether it’s the main story, side quests, daily commissions, or just exploring. The one thing that’s bad about this, as I’ve seen mentioned a lot before, is the resin system. The resin is the main part of the game that helps you level faster, but it regenerates at 1 per 8 minutes with a limit of 120. This can lead to a boring hour of just wandering and waiting for the resin to regenerate. Now onto the effect it has on my device. I’ve seen others say that it heats up your device pretty quickly, but I’d say it’s only a tiny bit faster at heating your device up as other games are. Now the devise I use is an IPhone SE that I got in October 2020, so it’s fairly new and had lots of storage when I decided to download. I’m glad I had lots of storage available because this game takes up around 4GB and more of storage on your device. The 4GB was expected thought because of the amazing game graphics and quality of gameplay, which at first glance does not look like it could fit on a mobile device. I’ll continue to play the game and I can’t wait for new updates and more stories!",5,False,Kailyn Sanford,Great Game!,
2020-11-10 22:55:56,"I never usually play these kinds of games. Lately even, I’ve been playing things like Escape from Tarkov and have been fiddling around in Conan Exiles. But this game is insane. Maybe I’m crazy, but at first I thought it would be one of those overcrowded mmo’s with a poorly written story but I have been and stayed intrigued in even side quests! The music is beautiful, the way it was written so well for all the different places and events, I love the effort they put into it. Graphics are pretty good, they’re not intended to be top of the line realistic or anything so for the type of game it is, the graphics are quite beautiful. This is a game where you’re not required to pay to play (of course, it makes things easier), despite it being free. You can actually earn currency and things such as primogems just from quests and exploring, and leveling up becomes really difficult after a while but it’s obviously still possible. The game is all around easy to grasp and the characters are each unique and well made. I’ve been glued to this game for the past few weeks and that’s saying something for myself. I usually like a game for a couple days and throw it away. But this, I haven’t played a game this much since Divinity II and Ark. I really love everything that has been put into this game and can’t wait to see where it goes.",5,False,Reagan Simpson,Astounding.,
2020-10-28 05:55:02,"-Opinions out of the way I love the game, I believe it to be a very good Free to Play game. Especially as a Free to Play mobile game, *cough* PC is better. Anyways I can see why it’s off putting for some, “it’s just a breath of the wild clone”, “the gacha rates are terrible”, “it’s over hype”, and e.t.c. 
-Honestly if you seen Free to Play games out there they are always “copies” or just plain ripoff of other games. For instance, PUBG and Fornite, Overwatch and Paladins, and many more. People tend to side with games that they played first and hate the others. An I do see that many of the stuff from Breath of the Wild is being copied in this game. 
-Ok for those who complain about the gacha rates, you obviously haven’t played any gacha games or maybe you just have bad luck. Also it’s a Free to Play game made in Asia, what do you expect. If you can’t be a whale, flop! 
-Can’t really say much on the overhype thing, I too get that feeling with other games sometimes. All I can really say is to play it and find out, like just play “Free to Play” for like a good amount of time to see if you like it and if not then that’s ok. 
-In the end, in all I think that Genshin Impact is hopefully putting a higher standard on game quality for other mobile game and gacha games. Just trying to say that I’m Addicted to this game, if you got far to reading this then pats on you. 👍",5,False,pocketilandtv,Hate it or Love it,
2021-11-27 18:09:20,"This game is incredible! Endgame can be quite slow but as of recently, they’ve been leaving us with amazing places to explore that are so beautiful and fun! The challenge of some stuff has been making it a lot more interesting. If you are into lore, this story has a nice plot to it as well and I definitely think it’s worth mentioning. Besides that, you can play without spending any money. This has its ups and downs, mostly downs to some so I think I should mention about it. I definitely have had a better experience with this than others so I’d like to warn and recommend some things if you plan to play f2p. As a f2p(free to play) this game can become a double edged sword when you are working with the gacha system. I cannot stress how many times people will expect the gacha system to work in their favor and then quite the game because it didn’t work their way..! If you have to Rely on Luck to get the character you want, don’t expect to get them! Xd You shouldn't rely on luck, I’ve seen it through my brothers, it does not end up well half the time. Also, plan ahead! There will be times in the game play when you will be guaranteed the next character you want! So plan it out well and save your primogems (the Gacha currency for wishing)for that certain character.",5,False,jenstade,Playing this game without spending money..,
2021-01-06 05:04:47,First of all let me say I was pleasantly suprised at what this game could offer!! There is so much stuff to do and it never runs out! Now let me say I NEVER write reviews but this game blew my mind. The reason I am giving it 4 stars is because of the lack of changing clothes option you would think with all these options and customizational paths you would be able to at least change your clothes or your hair it would be so cool if you could change clothes or even your hair!! Like you could cut it or make it longer or different hairstyles things like that of course you would have to pay for the clothes and getting your hair done. I don’t think you should be able to change your hair color though since you are looking for someone that looks like you so being a whole different color of hair wouldn’t really match the description. So yeah you don’t have to come to the hair thing super quickly just start off with a clothing store in Mondstadt and I notice they mention they know you are not from around there when they see or mention your clothes so make different clothing in different stores but accustomed to the city. But start off small and just continue updating the game I think it would add a whole other aspect to the game making it even more fun than it already is! I know it would for me!! Other than that the game is fantastic!,4,False,Gejus rhd,This game is fricking awesome,
2021-10-01 03:04:27,"This is a wonderful RPG with like-able characters who have great abilities. I stopped playing this game because it was too expensive! I pulled 2 5-star weapons other than the one I wanted. I was guaranteed to get Baal's weapon the next time I pulled a 5-star weapon, but at what cost? I spent so much money to pull for a weapon that I never got. The only 5-star character I enjoyed is Eula. But it took weeks or maybe months to get decent artifacts. Even if you don't spend money I think you will be disappointed because the rewards aren't worth the amount of time it takes to earn them. I think that it should a little easier to pull 5 stars and decent artifacts. I also think the daily commission rewards should slightly increase with a players Adventure Rank. I don't think getting rewards should be easy but I shouldn't feel like I am playing the lottery either. 

I think there should be reruns for popular characters like Venti, Xiao, and Hu-Tao. A separate banner that changes periodically for past banners would be great. There are so many players who are saving primogems for characters in previous banners. It's disappointing when you play a character's story quest, get to use the characters on trial and then thats it. 

The world itself is amazing and I love the stories as well. I am still a big fan of Venti and other characters. I may play the again later in the future.",4,False,i_just_ wanna,Really fun game,
2021-11-01 15:58:37,"Yeah so please ignore the fact that this is SUPER short. I wrote a whole essay then my computer had the AUDACITY to glitch out and hit the cancel button.
So I’ve been playing Genshin since around may of 2021. And since I started playing I’ve loved it.  The reason I felt pushed to write this is because recently changed servers and started from the beginning. I had forgotten how no matter what kind of games you like Genshin will always have something for you to do. There are so many quests and things to grind. And if you don’t like grinding there’s stuff for you too. There’s so much diversity in gameplay, so many characters, and so many different places to explore. I have at least two friends who only play to take pictures of the sunsets in game for desktop backgrounds (it hysterical to watch and listen to them talk about “finding the perfect angle” or “exactly which side the sun should be on”). Plus I myself have become a completely different person because of Genshin. Seeing all of these characters being themselves, and not caring about the public eye, fictional or not, made me feel more confident in myself. 
Anyway I would like to thank mihoyo for making this amazing game. And if you are contemplating downloading Genshin, don’t hesitate, I’m confident you’re gonna love it. 💗",5,False,pfftEneroDog,"Pls download, you’re not gonna regret it",
2022-06-21 03:30:04,"So first problem is getting the materials, you can either buy them ONCE at souvenir shops only once, there’s never going to restock, which is a stupid idea if you’re gonna put them there. You can’t choose what day to get those materials you need, you have to wait every other day for them. Upgrading characters and weapons is already hard as it is, like getting something from a boss and it taking it forever to get the boss gone. Getting materials is so hard I can’t even level up without having the mobs being a higher lvl than me. Second, it’s so hard to do a story and world quest because all the jobs to get rid of the mobs are hard because they’re a higher lvl, like I can’t even finish one story quest or even archon quest without having to quit them because they’re just that hard, and it takes the fun out of it. I may sound like I’m complaining but even my friends agree, and it just brings our mood down. I do enjoy the stories but get upset because I have to quit them just because I’m not able to remove a mob. I still enjoy each day and still have fun on it because of small little jobs to do, but even they are sometimes hard. I still do enjoy I like the character designs, and the elements and can’t wait till more new things, more characters, more places. But those are the main problems for me.",4,False,kazfamilu,It could be a bit easier.,
2021-07-21 05:10:10,"Believe the online hype—Genshin Impact is a gem in every area you can think of, and it’s singlehandedly raised my expectations for games to the sky. I actually can’t praise this game enough. The graphics and art are the best I’ve seen—being open world makes it even better—and the entire aesthetic down to the settings screen is super clean and pleasing to look at. Soundtrack is absolutely gorgeous as well! The characters are all so lovable (!!!) with beautiful designs. The actual gameplay is made unique and interesting by the option to have 4 party members you can switch between and an elemental reaction system (it doesn’t get boring). And aside from all that, what really surprised me was how invested I became in the story of the world. Everything is designed to add to the incredible worldbuilding, and it just creates an incredibly immersive experience. The only downsides I can think of are that it gets grind-y in late game and eats up a lot of your time (that’s an element in any RPG and to be expected) and that it takes up a huge chunk of space on your phone. Be careful about starting if you’re really busy, because the world totally sucked me in, especially since new content and events are constantly being released. :’)) All in all, please give this game a shot—there’s something in it for everyone!",5,False,Serulii,"Gorgeous, immersive, fun gameplay 💕",
2021-01-08 17:14:47,"I’m not the type to write a review but there are so many wonderful things about this game that I’m DYING to say. First of all the art is gorgeous and clean, not just the map but the characters too. Secondly is the music. The music was performed by an entire orchestra which really helps set the mood. In a way they’re soundtrack almost rivals some of Nintendo’s tracks. 
No matter how beautiful the art and soundtrack it needs to have good plot and gameplay to succeed. And I can say that this game does have that. The mechanics aren’t too difficult even on mobile which says a lot. Even though mobile commonly has problems like mistapping and sometimes an annoying movement system they haven’t shown up enough to damper my opinion of it. The characters are all different with unique skills and abilities which is exciting and fun. The plot is immersive and interesting. Also the grinding system of loot and resin gives the player a reason to come back. 
There are a couple problems of course such as low drop rates for artifacts and characters but that’s how gatcha games are. Also since it’s open world it takes up a LOT of space and memory. Not for older phone users thats for sure. Overall I guess one complaint is that Paimon, the sidekick, can sound kinda annoying but I switched to Japanese VA and I think that helps a lot. 
Overall 10/10 great work Mihoyo",5,False,jinx9100,Gorgeous and fresh,
2021-07-09 01:10:24,"I’ve been playing Genshin Impact for 3 months now, and I’m AR 46, so I’d consider myself well versed with it. It has beautiful regions to explore and interesting characters to play with! I easily spend hours on it daily, and with Inazuma coming out in a few weeks, I’m very excited to keep playing! HOWEVER, this game is quite difficult to play as a mobile player. The controls themselves are not hard to maneuver, as I’m quite used to touch screen controls. The problem with this game is that it crashes very frequently. Though I have noticed the patterns on the times that it crashes, it is very bothersome and annoying as it disrupts my playing and adds up extra time on the loading screen. I still have about 10 extra GB of storage, my WiFi works perfectly fine, and my graphics settings have been set to the lowest, but every time i try to co-op domains, the game kicks me out. It’s frustrating and kind of embarrassing when you return to their world. This may be because of my own device and not the game, however crashing seems to be a frequent problem. Despite these technical issues however, I do recommend playing this game and giving it a shot! It is without a doubt one of the best ever created with so much detail and effort to make such a lively world! Thank you, Mihoyo :))",5,False,Asterin ;),Amazingly Written Game!,
2023-11-13 08:16:35,"I’m slightly burnt out, but that happens with all games no matter where you go. However, as a somewhat busy person, quests are dropping out at just the right time so that I have good content when I need it. What about the representation? About the lack of representation, I completely understand. It’s a problem, but not the end of the world. Not everyone from the Middle East is dark skinned, so slightly tone complaints down if you have any. I see too many people screaming that everyone should be dark. Is genshin expensive? I never topped up for any primogems. There’s 17 five stars on this account from zero buying. That’s way more than enough. Why are all bodies so unrealistic? Marketing purposes. You’d be shocked to see how many people would skip out on an overweight or average looking character if genshin ever made one. Don’t blame the company, it’s because of us. I’d hate to admit it, that’s just how people work. Is grinding hard? Not until the year and a half mark for me. Then I hated it. Until I got a new character, and the hype got me going. Thing is, grinding for the amount of time I did was enough to clear the endgame. No one is making you eternally grind. Genshin has flaws such as artifacts, etc. but I still play because the archon quests always hit hard, and wishing your hard work into characters is a nice feeling. 8.5/10.",4,False,Severelag,2 year mark player opinion,
